,unprocessed_tweet,product,emotion,processed_tweet,emotion_encoded
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,really enjoy change gowalla android look forward see else amp foursquare sleeve,1
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,laurieshook im look forward smcdallas pre party wed hop ill win ipad result shameless promotion chevysmc,1
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,haha awesomely rad ipad app madebymany httpbitlyhtdfim hollergram via michaelpiliero,1
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,someone start austin partnerhub group google group presxsw great idea,1
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,new sq look like go rock update iphone android push tonight httpbitlyetsbzk keepaustinweird,1
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,right gowalla app android sweeeeet nice job team,1
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,smart madebymany hollergram ipad app httptcoaxvwc may leave vuvuzela home,1
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,must app ipad go httpitunesapplecomusapphollergramidmt hollergram,1
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,best ha first line ipad quotpopupquot apple store event planner eventprofs pcma engage,1
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,false alarm google circle come nowand probably ever google circle social,0
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,great weather greet still need sweater nightapple put quotflash storequot downtown sell ipad,1
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive emotion,ipad smartcover open instant access wait get one apple,1
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},,Positive emotion,handheld hobo drafthouse launch hobo shotgun iphone app,1
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,hooray apple open popup store austin,1
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive emotion,wooooo apple store downtown austin open til midnight,1
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive emotion,talk google effort allow user open system bettercloud,1
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive emotion,st stop chaos amp hunt austin java get spy game chance win ipad,1
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive emotion,omfg heard apple popup store downtown austin pic already gowalla ipad,1
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,,Negative emotion,line apple store insane,0
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative emotion,attend ipad design headache,0
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",,Negative emotion,boooo flipboard develop iphone version android say,0
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive emotion,check amp line ipad austin power sxswi,1
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive emotion,come party google tonight band food art ice cream nifty interactive map,1
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive emotion,holla google party best ever get butt,1
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive emotion,love iphone case cant get phone fail,1
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive emotion,new post iphone app make easy connect social network people meet,1
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive emotion,nice iphone app behave today crash yesterday ridiculous,1
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive emotion,nice hey apple fan get peek space thats slat popup apple store tomorrow,1
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive emotion,one thing great get great earth face google company love sxwsi,1
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive emotion,thanks new speech ipad apps showcased conf sxswh sxsh,1
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative emotion,provide iphone charger ive change mind go next year,0
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive emotion,xmas shiny new apps new garyvee book popup ipad store christmas nerd,1
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive emotion,yai new ubersocial iphone app store include uberguide sponsor cont,1
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive emotion,fast fun amp future google present search local mobile,1
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive emotion,headline quotipad musthave gadget sxswquot hmm could see one come gadget,1
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,,Negative emotion,know quotdatavizquot translates quotsatanicquot iphone im sayin,0
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive emotion,quotgoogle launch checkins month agoquot check in ok check out future bizzy,1
106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive emotion,quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel,1
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive emotion,kawasaki quotnot c lewis level reason apple continue existence evidence existence godquot bawling,1
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive emotion,kawasaki quotpagemaker save applequot oh day jwtatl enchantment via,1
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},,Positive emotion,spark android teamandroid award read,1
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive emotion,apple ipad great thought japan apac region deal earthquake amp tsunami trauma sxswi,1
116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive emotion,apple school marketing expert,1
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive emotion,temporary apple store def tent powerhouse gym,1
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive emotion,temporary apple store th congress along happy hipster,1
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive emotion,apple win open temporary store downtown austin support ipad launch good,1
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive emotion,ipad austin trend today fun nerdy nerd,1
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive emotion,christian ipad iphone devs want talk maybe wk together cool app,1
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive emotion,apple ipad take austin storm excited part mobile,1
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive emotion,haz ipad ifrom gr,1
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive emotion,stack ipads wait buy got mine hassle apple handle perfectly,1
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,,Positive emotion,smallbiz need review play google placeswe get app thatlink seo,1
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive emotion,take major south korean director get make movie entirely iphone,1
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive emotion,beautiful apple store pic,1
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive emotion,must app lovely review forbes ipad app holler gram,1
143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive emotion,temporary apple store apple sneaky usual,1
145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive emotion,beta test interactive book ipad app moonbot studio louisiana cool app,1
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive emotion,apple day one see ton ipad,1
149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,Positive emotion,ipad store sell everything except gig wifi white manage get,1
150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,Positive emotion,ipad store sell everything except gig wifi white also know white jean configuration,1
151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive emotion,offer ipad promo ninjafinder user fan suck,1
156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive emotion,poursite learn lifechanging impact ipad real people actual life bravo,1
157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,,Positive emotion,lonelyplanet austin guide iphone free limited time lp travel,1
161,The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive emotion,apple store still ipad short line,1
163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive emotion,leave tradeshow demo google theatre ok get see presenter use,1
166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive emotion,anyone want make quick hundred dollar new ipad ad hoc apple store get hundred plus cost,1
168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive emotion,monday barry diller new york time congress lunch hotel party google party six dirty martini monday,1
170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative emotion,seriously test mobile apps constant ipad crash cause lose schedule sync wp,0
171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,ready iphone apps make ur blogging easy sxswi,1
172,ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative emotion,ipad sxswa conflagration doofusness,0
173,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive emotion,attention sxswers rumor popup temporary apple store ipad launch need,1
174,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive emotion,go sxswi lousy ipad,1
177,This is a #WINNING picture #android #google #sxsw {link},Android,Positive emotion,win picture android google,1
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative emotion,spent come already use ipad wait couple city block ipad,0
182,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive emotion,behind email give line iphone compose reply protip,1
183,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive emotion,like pm night line around block popup apple store sell ipads,1
190,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative emotion,im ipad see wild people say fast still pic terrible,0
192,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive emotion,ipad take video,1
193,many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive emotion,many ipad snap away keynote slide,1
196,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive emotion,new post iphone apps well use south southwest interactive sxswi,1
198,sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive emotion,sweet new google map demo go ballroom,1
199,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive emotion,million mile per day drive google map navigation,1
203,#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive emotion,day apple store there still lineand grow,1
206,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive emotion,band want share track audience stage use frostwire android theres wifi available,1
211,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive emotion,iphone need caruse zimride etc share rid shareable,1
214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive emotion,pick mophie battery case iphone prep lug around laptop amp use phone huge win last year,1
217,"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive emotion,rumor monger good read google circle preview via socbiz fb,1
219,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive emotion,hobo shotgun video game come ipadiphone user yes please,1
220,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive emotion,build store less hour one big launch companys history get apple ipad,1
223,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive emotion,read groupme sxswsounds like incredible app available android phone yet,1
233,"If iPhone alarms botch the timechange, how many #SXSW'ers freak? Late to flights, missed panels, behind on bloody marys...",iPhone,Negative emotion,iphone alarm botch timechange many sxswers freak late flight miss panel behind bloody mary,0
234,Shouts to all the ladies holding up their iPad 2's at free #sxsw shows to take photos while sipping free beer. /cc: @mention,iPad,Positive emotion,shouts lady hold ipad free show take photo sip free beer cc,1
236,I meant I also wish I  at #SXSW #dyac stupid iPhone!,iPhone,Negative emotion,meant also wish dyac stupid iphone,0
240,Rumors of an Apple store opening for #SXSW at 6th &amp; Congress. All signs point to yes! {link},Apple,Positive emotion,rumor apple store open th amp congress sign point yes,1
244,picked up an ipad 2 at the #sxsw pop up  apple store! only 15 minute wait!,iPad,Positive emotion,pick ipad pop apple store minute wait,1
245,Brilliant and enlightening game mechanics presentation by @mention from Google #SXSW,Google,Positive emotion,brilliant enlighten game mechanic presentation google,1
251,marketing and sales GENIUS: {link} #Apple #SXSW,Apple,Positive emotion,marketing sale genius apple,1
257,"Do I need any more for #sxsw! ipad, iphone, laptop, dictaphone, vid.camera.... Wow! Love to  meet the REAL 'cerebellum' charged people:)",iPhone,Positive emotion,need ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charge people,1
259,The #SXSW app for my iPhone is ridiculous. It's my personal planner for the next 5 days.,iPad or iPhone App,Positive emotion,app iphone ridiculous personal planner next day,1
261,"Found the app kyping my iPhone's geolocation &amp; not releasing when in background. Need a patch, @mention #batterykiller #SXSW",iPad or iPhone App,Negative emotion,find app kyping iphones geolocation amp release background need patch batterykiller,0
262,the #SXSW app on the iPhone is live. RSVP for events from your phone &amp; check out sundayswagger.eventbrite.com 3/20 #scoremore,iPad or iPhone App,Positive emotion,app iphone live rsvp event phone amp check sundayswaggereventbritecom scoremore,1
264,Love this app! So awesome. RT @mention Must see #android app at #sxsw &quot;Bizzy&quot; {link},Android App,Positive emotion,love app awesome must see android app quotbizzyquot,1
268,Of course Apple built a temp store in Austin. It's Texas. They understand the concept of corralling cattle #SXSW #PickMeUpAniPad2,Apple,Negative emotion,course apple build temp store austin texas understand concept corral cattle pickmeupanipad,0
269,Love that Apple didn't let something like not having a retail store near #SXSW keep them away by opening a pop-up store {link},Apple,Positive emotion,love apple let something like retail store near keep away open popup store,1
270,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new ... {link} #Cnet,Apple,Positive emotion,surprise apple open popup store austin nerd town get new cnet,1
271,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads. {link} #cnet,iPad,Positive emotion,surprise apple open popup store austin nerd town get new ipads cnet,1
273,Surprise! Apple has opened a pop-up store in Austin so that the nerds in town for #SXSW can get their new iPads.... {link},Apple,Positive emotion,surprise apple open popup store austin nerd town get new ipads,1
275,ÛÏ@mention Apple is a great example of a retail store layed out for the future - no 'registers' no 'checkout line'  #sxsw,Apple,Positive emotion,apple great example retail store layed future register checkout line,1
276,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link} #gswsxsw,Apple,Positive emotion,apple open temporary store downtown austin ipad launch gswsxsw,1
277,ÛÏ@mention Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch&quot; oh YAY more traffic.,Apple,Negative emotion,apple open temporary store downtown austin ipad launchquot oh yay traffic,0
280,"The #sxsw Apple Popup Store is open at noon, has a fresh shipment of iPad 2's, and I'm pretty sure I'm going to get one. [fingers crossed]",iPad,Positive emotion,apple popup store open noon fresh shipment ipad im pretty sure im go get one finger cross,1
281,"#technews Apple saves SXSW, set to open pop-up store {link} #Tech_News #Apple #SXSW #tech",Apple,Positive emotion,technews apple save set open popup store technews apple tech,1
283,"At #SXSW, Apple schools the marketing experts {link}",Apple,Positive emotion,apple school marketing expert,1
284,"At #SXSW, Apple schools the marketing experts {link} via @mention",Apple,Positive emotion,apple school marketing expert via,1
285,"At #SXSW, Apple schools the marketing experts {link} via @mention &lt;&lt; True. Love or loathe them, no one does marketing like them.",Apple,Positive emotion,apple school marketing expert via ltlt true love loathe one marketing like,1
286,"At #SXSW, Apple schools the marketing experts | CNET - {link}",Apple,Positive emotion,apple school marketing expert cnet,1
287,"At #SXSW, Apple schools the marketing experts | CNET Blogs {link} #Austin #ATX #retail",Apple,Positive emotion,apple school marketing expert cnet blog austin atx retail,1
288,ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ @mention there's still time :),Apple,Positive emotion,apple store downtown austin open til midnight there still time,1
291,&quot;The Apple store at the mall on Sunday is 10x as crowded as this. This line is fake. I just need a fucking dongle.&quot; Genius let me in. #sxsw,Apple,Negative emotion,quotthe apple store mall sunday crowd line fake need fuck donglequot genius let,0
294,Makeshift apple store at 6th and congress. You're kidding me. Amazing #sxsw #apple,Apple,Positive emotion,makeshift apple store th congress kid amaze apple,1
296,Temporary Apple store at SXSW is really cool...as is the iPad 2 :) #apple #SXSW #fanboy,iPad,Positive emotion,temporary apple store really coolas ipad apple fanboy,1
297,Temporary Apple Store being set up for #SXSW... shit now the temptation is going to be out of control.,Apple,Positive emotion,temporary apple store set shit temptation go control,1
300,Temporary apple store opens at 5pm at 6th and congress. Line already growing. #iPad - view.io {link} via @mention #sxsw,Apple,Positive emotion,temporary apple store open pm th congress line already grow ipad viewio via,1
301,Temporary Apple Store will be a block from my office! Can't wait to see the line tomorrow. Photos to come... #sxsw #iPad2,Apple,Positive emotion,temporary apple store block office cant wait see line tomorrow photo come ipad,1
304,iPad news apps 'so last year' at #SXSW {link},iPad or iPhone App,Negative emotion,ipad news apps last year,0
305,10 iPhone Apps youÛªll Probably Need and Use During #SXSW {link},iPad or iPhone App,Positive emotion,iphone apps probably need use,1
306,Now there are 150 million mobile google maps users @mention #sxsw,Other Google product or service,Positive emotion,million mobile google map user,1
308,And a few are Android too RT @mention 10 New Mobile Apps IÛªll Be Using atåÊ#SXSW  {link},Android App,Positive emotion,android new mobile apps ill use atsxsw,1
310,"iPad apps are just like software development in that once you release it, you have to start working on the update. #sxsw",iPad or iPhone App,Positive emotion,ipad apps like software development release start work update,1
323,Overheard at #sxsw &quot;the iPad is a relaxing computer&quot;: agreed. #iPad #apple,iPad,Positive emotion,overheard quotthe ipad relax computerquot agree ipad apple,1
324,Overheard at #sxsw interactive: &quot;Arg! I hate the iphone! I want my blackberry back&quot; #shocked,iPhone,Negative emotion,overheard interactive quotarg hate iphone want blackberry backquot shock,0
326,ÛÏ@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;Û,Apple,Negative emotion,quotapple come cool technology one ever hear go conferencesquot,0
331,"Last year at #SXSWi everbody was talking about the iPad, this year it's social media driven revolutions. This year is better. #sxsw",iPad,Positive emotion,last year sxswi everbody talk ipad year social medium drive revolution year well,1
332,"Long line at Apple Pop up store for iPad 2. Great marketing, Apple. #SXSW",Apple,Positive emotion,long line apple pop store ipad great marketing apple,1
333,"ÛÏ@mention At Google, 4 people do the work of 7 people rather than 7 people doing the work of 4. #agileagency #SXSWÛ",Google,Positive emotion,google people work people rather people work agileagency,1
334,knackered at home playing with ipad and updating iphone. but timeline smashed with partytweets can't make me go to bed.. #sxsw,iPad,Positive emotion,knackered home playing ipad update iphone timeline smash partytweets cant make go bed,1
335,overheard at MDW (and I'll second it) &quot;halfway through my iPhone battery already and I haven't even boarded the plane to #sxsw&quot; #amateurhour,iPhone,Negative emotion,overheard mdw ill second quothalfway iphone battery already even board plane sxswquot amateurhour,0
336,"#technews At SXSW, Apple schools the marketing experts {link} #Tech_News #Apple #Jobs_Co #SXSW #tech",Apple,Positive emotion,technews apple school marketing expert technews apple jobsco tech,1
337,First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,,Positive emotion,first day fun final presentation google doodle googledoodle,1
338,Huge line at the #apple store in #austin - #sxsw crowd tripping over each other to get the new ipad,iPad,Positive emotion,huge line apple store austin crowd trip get new ipad,1
339,If ur not at the #google #aclu 80's party....u should be! #sxsw,Google,Positive emotion,ur google aclu partyu,1
344,I laughed at the iPad until I spent this week hauling my macbook everywhere. Now I really want an iPad and a shoulder rub. #sxsw,iPad,Positive emotion,laugh ipad spent week haul macbook everywhere really want ipad shoulder rub,1
345,Any #SXSW attendees need a QR code reader for their iPhone? Tweet us an image of you with your badge and the first 5 get Optiscan free!,iPad or iPhone App,Positive emotion,attendee need qr code reader iphone tweet u image badge first get optiscan free,1
346,Hey #SXSW attendees...you should hop in line at the #Apple store now. Only four days til your new iPad2 comes in...,iPad,Positive emotion,hey attendeesyou hop line apple store four day til new ipad come,1
350,they took away the lego pit but replaced it with a recharging station ;) #sxsw and i might check prices for an iphone - crap samsung android,Android,Negative emotion,take away lego pit replace recharge station might check price iphone crap samsung android,0
